OBJECTID,GEOID,TRACTCE,HUD_QCT,spa,sup_dist,Shape__Area,Shape__Length
1,06037137504,137504,No,SPA 2 - San Fernando,District 3,41305116.3925781,32874.7738747659
2,06037138000,138000,No,SPA 2 - San Fernando,District 3,48135943.0859375,31253.1303791812
3,06037139200,139200,No,SPA 2 - San Fernando,District 3,12399623.9150391,14017.0962448827
4,06037143200,143200,No,SPA 2 - San Fernando,District 5,10301572.9580078,14060.067521745
5,06037143300,143300,No,SPA 2 - San Fernando,District 5,17811684.8457031,19899.8245820909
6,06037201301,201301,Yes,SPA 4 - Metro,District 1,9323296.5390625,19559.4357566334
7,06037201302,201302,No,SPA 4 - Metro,District 1,10674481.4833984,14999.8811294119
8,06037201401,201401,No,SPA 4 - Metro,District 1,14080873.2832031,15489.9911046557
9,06037201402,201402,No,SPA 4 - Metro,District 1,20894870.6923828,19009.7794796171
10,06037139301,139301,No,SPA 2 - San Fernando,District 3,30843790.9990234,26908.0938781223
11,06037139302,139302,No,SPA 2 - San Fernando,District 3,3641075.10058594,7960.59053123008
12,06037139502,139502,No,SPA 2 - San Fernando,District 3,11275129.9736328,16958.941209557
13,06037139600,139600,No,SPA 2 - San Fernando,District 3,26665920.9003906,20761.2016729151
14,06037139701,139701,No,SPA 2 - San Fernando,District 3,36582493.9873047,32947.2954148535
15,06037139801,139801,No,SPA 2 - San Fernando,District 3,39455705.6474609,27688.9153431609
16,06037143400,143400,No,SPA 2 - San Fernando,District 3,18914823.4902344,21025.4392278242
17,06037143500,143500,No,SPA 2 - San Fernando,District 3,13327076.1669922,18907.6392948725
18,06037181000,181000,No,SPA 4 - Metro,District 1,44534127.6982422,37817.458645959
19,06037181500,181500,No,SPA 4 - Metro,District 1,11779775.4443359,17899.8199940035
20,06037181600,181600,No,SPA 4 - Metro,District 1,13454680.5849609,17952.9039138516
21,06037183101,183101,No,SPA 4 - Metro,District 1,10418565.6845703,17031.553973705
22,06037183220,183220,No,SPA 4 - Metro,District 1,5760984.87304688,13315.7455015623
23,06037183300,183300,No,SPA 4 - Metro,District 1,5826344.37109375,10264.3216493239
24,06037183510,183510,No,SPA 4 - Metro,District 1,5386503.6015625,10456.9049521348
25,06037183520,183520,Yes,SPA 4 - Metro,District 1,4603630.95117188,9181.87254041191
26,06037183610,183610,No,SPA 4 - Metro,District 1,4075528.43066406,9804.40067433458
27,06037192300,192300,No,SPA 4 - Metro,District 3,9466568.27929688,12502.5058841204
28,06037195400,195400,No,SPA 4 - Metro,District 1,11090240.6123047,17054.0229406455
29,06037183820,183820,Yes,SPA 4 - Metro,District 1,3322230.73144531,10487.5726441916
30,06037185100,185100,No,SPA 4 - Metro,District 1,24519841.2783203,25506.9032583216
31,06037185202,185202,No,SPA 4 - Metro,District 1,12978068.8486328,17415.3512103764
32,06037185310,185310,No,SPA 4 - Metro,District 1,4532369.890625,12164.1790826459
33,06037552700,552700,No,SPA 7 - East,District 4,14805978.7753906,16500.3101697911
34,06037552800,552800,No,SPA 7 - East,District 4,13926657.4677734,15865.659636627
35,06037553000,553000,No,SPA 7 - East,District 4,13607314,16264.1897477143
36,06037601402,601402,No,SPA 8 - South Bay,District 2,10584567.3916016,13265.2158075159
37,06037601502,601502,Yes,SPA 8 - South Bay,District 2,5283115.37109375,11514.4757577826
38,06037601600,601600,Yes,SPA 8 - South Bay,District 2,9821883.2265625,12866.0456297947
39,06037601700,601700,Yes,SPA 8 - South Bay,District 2,8405637.35546875,12703.1862760019
40,06037601801,601801,Yes,SPA 8 - South Bay,District 2,5239211.35253906,10548.5363577435
41,06037601802,601802,No,SPA 8 - South Bay,District 2,5211014.90136719,10562.9374732409
42,06037602002,602002,No,SPA 8 - South Bay,District 2,5763897.54199219,10775.754163471
43,06037602003,602003,No,SPA 8 - South Bay,District 2,6729134.26660156,10337.4009557148
44,06037602004,602004,No,SPA 8 - South Bay,District 2,6376532.9921875,10199.2085308349
45,06037602103,602103,No,SPA 8 - South Bay,District 2,8997950.96191406,11939.413137554
46,06037602104,602104,No,SPA 8 - South Bay,District 2,7760375.46777344,11489.5771606778
47,06037530700,530700,No,SPA 4 - Metro,District 1,11383409.6162109,17884.1692941499
48,06037530801,530801,No,SPA 7 - East,District 1,8278551.79589844,14508.5953239941
49,06037530802,530802,No,SPA 7 - East,District 1,6095832.62792969,14533.6741596861
50,06037530901,530901,No,SPA 7 - East,District 1,4780656.015625,8761.15085306001
51,06037531000,531000,No,SPA 7 - East,District 1,10758153.5,15826.8850173974
52,06037531102,531102,Yes,SPA 7 - East,District 1,5364456.94726563,9848.27692022769
53,06037531201,531201,Yes,SPA 7 - East,District 1,5977859.24414063,11143.5576339965
54,06037531301,531301,Yes,SPA 7 - East,District 1,8532657.78125,15266.0561135636
55,06037531302,531302,Yes,SPA 7 - East,District 1,9512667.86425781,15826.3094012674
56,06037541001,541001,No,SPA 8 - South Bay,District 2,28089721.8417969,21529.7454141798
57,06037702202,702202,No,SPA 5 - West,District 3,10907984.0361328,13838.4700987916
58,06037702300,702300,No,SPA 5 - West,District 3,27983192.0507813,21142.6801657715
59,06037901004,901004,No,SPA 1 - Antelope Valley,District 5,140927869.226563,53077.6682555037
60,06037901007,901007,No,SPA 1 - Antelope Valley,District 5,56077816.8007813,31617.3101571073
61,06037901101,901101,No,SPA 1 - Antelope Valley,District 5,56221612.2167969,31894.6133110991
62,06037901102,901102,No,SPA 1 - Antelope Valley,District 5,55011048.4140625,31486.118968811
63,06037276601,276601,No,SPA 5 - West,District 2,24108650.0205078,23283.3398208306
64,06037277000,277000,No,SPA 5 - West,District 2,24745922.4794922,21847.7459940653
65,06037920040,920040,No,SPA 2 - San Fernando,District 5,31861962.9052734,27203.3894819947
66,06037670500,670500,No,SPA 8 - South Bay,District 4,83413149.7617188,48187.1570905242
67,06037670701,670701,No,SPA 8 - South Bay,District 4,33169519.359375,35236.901383322
68,06037700200,700200,No,SPA 4 - Metro,District 3,7523651.03808594,14072.8662502742
69,06037700300,700300,No,SPA 4 - Metro,District 3,6535065.95214844,14233.8134814791
70,06037275500,275500,Yes,SPA 5 - West,District 2,8479364.31054688,11765.8860725007
71,06037462001,462001,Yes,SPA 3 - San Gabriel,District 5,5507624.68457031,10803.2238443292
72,06037463601,463601,No,SPA 3 - San Gabriel,District 5,9989947.97363281,12789.6219839435
73,06037920116,920116,No,SPA 2 - San Fernando,District 5,79906314.7460938,44200.7277190469
74,06037920119,920119,No,SPA 2 - San Fernando,District 5,54513107.3291016,34205.3917106029
75,06037920338,920338,No,SPA 2 - San Fernando,District 5,39988156.3017578,34169.6992838403
76,06037930301,930301,No,SPA 3 - San Gabriel,District 5,11114155988.8965,631251.585429706
77,06037221601,221601,Yes,SPA 6 - South,District 2,3981517.75097656,8298.43006947373
78,06037222001,222001,No,SPA 6 - South,District 2,5105293.14746094,9152.50954022052
79,06037237201,237201,No,SPA 6 - South,District 2,4880485.20605469,8888.39173015249
80,06037239201,239201,Yes,SPA 6 - South,District 2,4842417.28417969,8889.20071749171
81,06037239601,239601,Yes,SPA 6 - South,District 2,4545566.81640625,9594.70018366332
82,06037980019,980019,No,SPA 5 - West,District 3,476197474.672852,155767.636527367
83,06037980031,980031,No,SPA 8 - South Bay,District 4,279116207.944336,82569.8939652679
84,06037408503,408503,No,SPA 3 - San Gabriel,District 1,50482186.9550781,37512.1496085694
85,06037403303,403303,No,SPA 3 - San Gabriel,District 1,47945674.8779297,34796.3589767312
86,06037272100,272100,No,SPA 5 - West,District 3,12909180.8779297,14819.199932457
87,06037403403,403403,No,SPA 3 - San Gabriel,District 1,40365528.7255859,42216.9608333721
88,06037407302,407302,No,SPA 3 - San Gabriel,District 1,8652375.04199219,12289.712199706
89,06037530902,530902,No,SPA 7 - East,District 1,5630345.73144531,11786.8599182887
90,06037221110,221110,Yes,SPA 4 - Metro,District 1,2521209.39550781,6926.35380373945
91,06037212303,212303,Yes,SPA 4 - Metro,District 2,1675322.39746094,5219.25385861568
92,06037201200,201200,No,SPA 4 - Metro,District 1,4745344.70898438,10433.2498049056
93,06037191203,191203,Yes,SPA 4 - Metro,District 1,2208777.33496094,5985.14698302085
94,06037135201,135201,No,SPA 2 - San Fernando,District 3,16487042.0791016,18595.2000683683
95,06037119400,119400,No,SPA 2 - San Fernando,District 3,12071383.0800781,14163.224516252
96,06037113213,113213,No,SPA 2 - San Fernando,District 3,14001134.3876953,16855.5137288374
97,06037296600,296600,Yes,SPA 8 - South Bay,District 4,9063985.265625,12269.8715611035
98,06037575300,575300,Yes,SPA 8 - South Bay,District 4,6976564.23828125,10568.6410237397
99,06037406102,406102,No,SPA 3 - San Gabriel,District 1,17723099.78125,18747.0402543771
100,06037261101,261101,No,SPA 5 - West,District 3,71881045.3925781,63928.6668925577
101,06037554001,554001,No,SPA 7 - East,District 4,11655217.4355469,16116.5882296426
102,06037920013,920013,No,SPA 2 - San Fernando,District 5,90535775.40625,44717.0644284382
103,06037920312,920312,No,SPA 2 - San Fernando,District 5,137342675.763672,58038.0801129078
104,06037500201,500201,No,SPA 7 - East,District 4,77742673.796875,43197.7001660035
105,06037535501,535501,Yes,SPA 7 - East,District 4,5293204.421875,12074.2902010701
106,06037501600,501600,No,SPA 7 - East,District 4,105337722.396484,48230.9024833975
107,06037237300,237300,Yes,SPA 6 - South,District 2,10739283.6943359,13459.4831275748
108,06037408402,408402,No,SPA 3 - San Gabriel,District 1,124586412.013672,62506.2802342883
109,06037227010,227010,Yes,SPA 6 - South,District 2,6234438.03320313,11858.4767170142
